text,n,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @BMT094: Anyone have a plan for next week to add $TSLA shares or options? 

I will add a few more shares if we go down. Would really lik…",FALSE,0,NA,22-01-2022 05:36,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ESGESG1001,3,TRUE,FALSE,NA,NA
"RT @pakpakchicken: My initial target for tesla deliveries 2022 was 1.3 million. Thats $tsla $1600

That was 3 yrs ago. 

With revised 2022…",FALSE,0,NA,22-01-2022 05:35,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wcli1108,120,TRUE,FALSE,NA,NA
"RT @Teslaconomics: Next week will be nothing short of extraordinary. 🔥 

Strap up. 

$TSLA #Tesla",FALSE,0,NA,22-01-2022 05:34,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wcli1108,9,TRUE,FALSE,NA,NA
RT @teslaunivrse: Reasons to Sell… $TSLA https://t.co/PVkb4i8TMq,FALSE,0,NA,22-01-2022 05:34,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Mars4x4,4,TRUE,FALSE,NA,NA
"RT @davidtayar5: * Tesla aims for 'a few' Model Y deliveries from Gigafactory Texas by end of quarter

$TSLA",FALSE,0,NA,22-01-2022 05:34,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wcli1108,12,TRUE,FALSE,NA,NA
"RT @patienttrading: $TSLA

In 13 trading days, -22%!

What does it tell you?",FALSE,0,NA,22-01-2022 05:34,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wcli1108,4,TRUE,FALSE,NA,NA
"@ComputeSam @JoeBiden Stay calm, $tsla with this fundamentals and outlook is 2022 easily a 1500$ stock probably higher ✊🏻🍻",FALSE,0,ComputeSam,22-01-2022 05:33,FALSE,1.48474E+18,1.48476E+18,1.11065E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HardyFuture,0,FALSE,FALSE,NA,NA
"RT @garyblack00: Two bullish charts from ARK why to own $TSLA:
- EV adoption continues to soar by over +50%/year (2021 +112%)
- $TSLA holdi…",FALSE,0,NA,22-01-2022 05:32,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kennych88527377,93,TRUE,FALSE,NA,NA
RT @ShrimpTeslaLong: Why buy $TSLA?  Because it‘s the best damn company on Earth.  Period.,FALSE,0,NA,22-01-2022 05:32,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RalphGorichanaz,5,TRUE,FALSE,NA,NA
"RT @HarryWangEra: First ever milli day

Holy fuck

Thanks $AMZN $SPY $BNTX $GME $TSLA https://t.co/bHcUHFmY39",FALSE,0,NA,22-01-2022 05:32,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LorrieCulligan,25,TRUE,FALSE,NA,NA
"RT @SomeCrypt0Guy: Hello #Crypto Twitter. Hope the dip has been enjoyable for you. Please have a #DogeBonk meme

#meme #memes #memesdaily #…",FALSE,0,NA,22-01-2022 05:32,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BrianBouphavon1,6,TRUE,FALSE,NA,NA
RT @BMT094: @SawyerMerritt I bought $TSLA stock first before I owned a Tesla.,FALSE,0,NA,22-01-2022 05:32,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ESGESG1001,3,TRUE,FALSE,NA,NA
"RT @SawyerMerritt: Sad to see others shame people who don't own Teslas yet, even if they like/support the company in others ways. Just beca…",FALSE,0,NA,22-01-2022 05:32,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ESGESG1001,53,TRUE,FALSE,NA,NA
"RT @bevedoni: if you panic now, you will panic the rest of your life. $tsla",FALSE,0,NA,22-01-2022 05:31,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rakesh31046324,16,TRUE,FALSE,NA,NA
RT @teslaunivrse: Reasons to Sell… $TSLA https://t.co/PVkb4i8TMq,FALSE,0,NA,22-01-2022 05:31,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",akidesir,4,TRUE,FALSE,NA,NA
"Trending Stocks on #fintwit: 

Source: https://t.co/cWJOwWSb0I 

1. $ETH 🥇
2. $TSLA 🥈
3. $DIA 🥉
4. $KSS
5. $F
6.… https://t.co/332RlXV4Jq",FALSE,0,NA,22-01-2022 05:31,TRUE,NA,1.48476E+18,NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">finapse2</a>",FintwitSynapse,0,FALSE,FALSE,NA,NA
